DateTime,AddedIPs,RemovedIPs
1555945342,2,2
1555949002,0,2
1555952602,1,2
1555956202,1,0
1555959802,4,4
1555963342,3,1
1555967002,0,2
1555974144,1,1
1555977803,0,1
1555981343,2,1
1555984943,0,2
1555988603,0,2
1555992204,7,0
1555995804,0,5
1555999403,1,0
1556003003,3,3
1556006545,3,1
1556010143,4,1
1556013743,1,1
1556017403,1,1
1556021003,4,0
1556024543,2,6
1556028203,2,0
1556031805,0,1
1556035344,0,3
1556038946,2,3
1556042544,2,0
1556046143,2,14
1556049743,2,1
1556053344,1,0
1556057005,3,5
1556060604,1,0
1556064143,1,1
1556071404,0,1
1556074944,2,0
1556078544,3,3
1556082144,1,5
1556087243,1,1
1556092944,5,1
1556096543,4,0
1556100204,1,1
1556103744,2,1
1556107403,1,2
1556110943,2,1
1556118204,1,22
1556121746,2,0
1556125404,3,2
1556129007,2,3
1556132604,2,1
1556136144,1,2
1556143404,1,2
1556147004,0,1
1556150604,3,0
1556154204,1,2
1556157804,1,0
1556161404,4,1
1556164946,4,0
1556168544,3,1
1556172204,2,2
1556175804,1,1
1556179404,1,3
1556183004,1,3
1556190144,1,0
1556193808,1,3
1556197404,0,2
1556200945,1,1
1556639016,6,173
1556639407,9,0
1556639583,1,0
1556639967,2,0
1556640463,11,0
1556640770,9,3
1556641137,12,0
1556643739,2,0
1556647399,3,1
1556650999,1,2
1556654599,1,0
1556658139,2,0
1556661799,1,2
1556665339,2,1
1556668999,5,1
1556676198,3,0
1556679798,1,8
1556683398,3,1
1556686998,1,1
1556690598,3,0
1556694138,1,2
1556701339,1,3
1556704999,6,1
1556712204,6,2
1556715800,2,0
1556719400,3,1
1556722999,4,0
1556726599,3,2
1556730142,1,7
1556733799,2,3
1556737399,1,2
1556744599,2,1
1556748139,1,0
1556751806,2,2
1556755402,2,1
1556758999,1,0
1556762599,2,8
1556766142,4,4
1556769800,3,0
1556773399,2,4
1556777007,3,3
1556780601,1,3
1556784140,1,4
1556787800,1,0
1556791401,1,1
1556794941,2,2
1556798600,3,0
1556802200,3,1
1556805801,1,1
1556809401,0,79
1556812940,3,0
1556816540,3,0
1556820200,1,0
1556823740,1,0
1556831000,1,0
1556834600,1,0
1556838200,4,0
1556849000,4,0
1556852600,1,0
1556856200,3,0
1556863400,3,0
1556866940,2,0
1556870542,2,0
1556874141,2,0
1556885002,3,0
1556888607,2,0
1556892142,3,0
1556895801,3,0
1556899405,3,0
1556903001,2,0
1556906601,2,0
1556910204,2,0
1556917341,3,0
1556921001,1,0
1556924541,2,0
1556928202,3,0
1556935341,2,0
1556939001,2,0
1556942606,2,0
1556946202,1,0
1556949741,1,0
1556956941,2,0
1556964204,3,0
1556967743,1,0
1556975003,1,0
1556978607,1,0
1556982202,3,0
1556985803,5,0
1556993002,2,0
1557000202,2,0
1557007402,1,0
1557011003,1,0
1557018142,2,0
1557021743,1,0
1557025402,1,0
1557029002,2,0
1557032605,1,0
1557036205,2,0
1557039743,1,0
1557043403,1,0
1557050602,1,0
1557054142,1,0
1557061402,1,0
1557068542,1,0
1557072204,1,0
1557079343,3,0
1557086607,4,0
1557090204,1,0
1557108143,1,0
1557111804,1,0
1557115403,2,0
1557118943,2,0
1557122604,2,0
1557126205,2,0
1557129803,1,0
1557136944,1,0
1557144204,2,0
1557147804,3,0
1557151405,7,0
1557155003,4,0
1557158604,2,0
1557162207,2,0
1557165805,4,0
1557172944,5,0
1557183744,1,0
1557187346,1,0
1557194605,2,0
1557198148,2,0
1557201744,2,0
1557205405,2,0
1557208944,1,0
1557212605,1,0
1557216205,2,0
1557230604,1,0
1557234144,1,0
1557237745,1,0
1557241405,1,0
1557245004,3,0
1557248606,1,0
1557255805,1,0
1557259405,0,1
1557263006,0,1
1557266608,1,0
1557270205,0,5
1557273809,1,0
1557280945,1,0
1557284606,1,2
1557288206,1,2
1557291806,2,0
1557295408,2,2
1557299006,1,3
1557302606,2,0
1557309806,0,1
1557313405,1,1
1557317005,1,0
1557320546,1,0
1557324205,1,2
1557331347,3,5
1557335006,1,0
1557338546,1,2
1557342207,3,0
1557345746,2,4
1557349346,1,2
1557353007,2,0
1557356606,0,2
1557360147,2,3
1557363807,0,3
1557367406,2,0
1557370946,1,3
1557374547,2,4
1557378206,0,3
1557381806,2,2
1557385347,1,1
1557389007,4,0
1557392606,2,2
1557396146,2,0
1557399746,2,3
1557403347,0,3
1557410546,1,3
1557414207,2,2
1557417807,0,4
1557421406,1,3
1557425007,3,2
1557428607,2,1
1557432147,1,0
1557435747,1,6
1557439407,4,0
1557443007,1,0
1557446547,2,0
1557450207,0,3
1557453747,1,0
1557457407,1,3
1557460947,1,0
1557464608,0,1
1557468148,1,3
1557471747,0,2
1557475408,3,0
1557478947,0,1
1557486207,1,1
1557489807,0,2
1557493407,2,0
1557496947,1,1
1557500547,3,2
1557504207,2,3
1557504508,1,0
1557507808,0,1
1557511407,2,0
1557515008,3,2
1557518608,3,2
1557522149,1,0
1557525749,2,0
1557529408,3,2
1557533128,1,9
1557536549,2,0
1557540149,1,2
1557543748,1,3
1557547409,5,0
1557551009,0,2
1557554548,0,2
1557561749,2,5
1557565348,2,2
1557576210,1,1
1557579809,2,4
1557587008,0,3
1557590549,1,0
1557594149,0,2
1557597749,1,2
1557601350,1,0
1557604949,2,1
1557608609,2,0
1557612209,2,0
1557615809,2,3
1557619409,2,1
1557623009,0,5
1557630150,2,3
1557633749,3,0
1557637410,0,1
1557641010,1,2
1557644549,1,1
1557648149,2,0
1557651810,2,0
1557655410,2,0
1557659009,0,2
1557662609,1,0
1557666210,1,2
1557673351,1,5
1557676950,2,0
1557680550,0,2
1557684150,1,2
1557687750,1,0
1557688353,2,2
1557691350,0,3
1557698550,1,0
1557698970,0,1
1557705750,1,0
1557709411,1,2
1557713010,1,0
1557716551,5,0
1557720211,2,4
1557723750,4,0
1557727350,1,2
1557731011,1,3
1557734611,3,0
1557738150,0,2
1557741751,1,0
1557745412,0,2
1557749014,1,0
1557752610,0,3
1557759751,1,2
1557763351,3,1
1557766951,3,0
1557770550,3,2
1557777751,4,2
1557781352,0,2
1557788551,1,1
1557792155,1,0
1557795811,0,2
1557799351,1,0
1557802951,0,3
1557806612,1,3
1557813752,1,2
1557817352,2,3
1557820951,13,1
1557824551,1,1
1557828153,0,1
1557831753,2,2
1557839014,0,3
1557842552,2,2
1557846213,1,2
1557849752,2,0
1557853356,1,1
1557857011,1,1
1557860615,1,1
1557864152,2,3
1557867752,1,0
1557871012,3,0
1557871371,2,0
1557874972,3,1
1557878571,1,0
1557882231,15,0
1557885771,1,3
1557889431,1,1
1557893032,3,0
1557896572,5,2
1557900171,1,1
1557903772,1,0
1557907372,2,2
1557914632,0,2
1557918172,0,1
1557921772,2,1
1557925372,1,1
1557928972,1,0
1557932572,0,2
1557936232,3,0
1557939772,0,2
1557943132,1,2
1557947033,2,5
1557950573,4,0
1557954172,1,0
1557961372,1,1
1557964973,1,0
1557968574,1,4
1557972174,1,0
1557975773,2,1
1557979373,2,5
1557986574,2,0
1557990176,1,2
1557993774,3,6
1557997373,1,0
1558000974,2,4
1558004574,1,0
1558008234,3,2
1558011774,0,1
1558018974,4,0
1558022574,0,3
1558026174,1,0
1558029795,2,1
1558033377,2,3
1558036973,1,0
1558040574,0,2
1558044173,1,4
1558047777,1,0
1558051374,1,1
1558058573,1,1
1558062174,1,3
1558065773,1,0
1558072973,3,2
1558076633,0,3
1558080175,3,0
1558083774,3,1
1558087435,2,2
1558094575,1,0
1558098174,1,2
1558101774,1,2
1558105374,2,0
1558108975,3,3
1558116174,0,4
1558119774,3,0
1558123374,4,2
1558126974,0,2
1558130574,1,3
1558134174,1,0
1558137775,1,2
1558141374,0,2
1558144975,1,2
1558148575,2,0
1558152174,1,7
1558162976,1,4
1558166576,2,2
1558170175,1,1
1558173776,2,0
1558177375,0,3
1558184576,0,3
1558188175,1,1
1558191775,2,0
1558195435,0,2
1558198975,1,0
1558202575,2,6
1558206461,3,3
1558209775,5,0
1558213376,1,2
1558216976,1,0
1558220575,2,3
1558224175,1,0
1558227776,0,2
1558231376,2,4
1558234976,1,0
1558238576,3,4
1558239056,1,0
1558249376,2,3
1558253036,2,0
1558256576,2,3
1558260176,0,1
1558263776,2,0
1558267376,1,2
1558274577,0,1
1558278177,4,2
1558281777,2,0
1558285376,0,1
1558288976,1,0
1558292587,2,1
1558296177,6,1
1558303377,1,1
1558310576,0,3
1558317778,1,7
1558321377,1,2
1558324977,2,0
1558328577,4,1
1558332178,2,2
1558335777,1,1
1558339377,1,0
1558342978,2,0
1558346578,2,0
1558350178,1,1
1558353778,0,2
1558357378,2,0
1558360978,1,5
1558364577,2,0
1558368177,1,1
1558371515,1,2
1558375356,1,3
1558378955,2,1
1558386696,2,1
1558396956,2,4
1558400555,0,2
1558404156,0,2
1558407815,4,0
1558408475,2,1
1558415015,1,4
1558418556,2,0
1558422157,1,4
1558425755,1,0
1558429357,3,2
1558432957,3,2
