DateTime,AddedIPs,RemovedIPs
1557313916,3,0
1557317488,4,1
1557320102,255,35840
1557321075,3,1
1557323402,1,1
1557324002,1,1
1557324929,0,4
1557328530,2,3
1557329420,512,512
1557331220,256,256
1557331891,1,4
1557335722,2,0
1557339322,256,257
1557342702,1,1
1557346523,2,1
1557353516,2,1
1557355526,256,256
1557357303,0,3
1557360904,7,1
1557363630,1,1
1557363902,1,1
1557366602,33,4
1557368402,5,0
1557369028,1,1
1557369603,1,0
1557371728,4,12
1557375303,4,33
1557378929,3,1
1557382527,9,4
1557386129,2,4
1557389728,3,2
1557393302,4,2
1557396928,4,4
1557400528,1,4
1557404103,3,3
1557407101,3840,34048
1557407728,2,3
1557411901,2,5
1557414903,2,3
1557415502,512,768
1557418520,4,4
1557419102,256,256
1557422121,2,1
1557425402,256,256
1557425722,1,1
1557426435,256,256
1557429002,256,256
1557429323,2,1
1557432923,3,0
1557433502,256,256
1557436322,1,6
1557439946,4,6
1557442202,256,256
1557444302,2,5
1557447326,7,7
1557447902,512,256
1557450928,18,4
1557454528,6,7
1557458129,3,11
1557461542,4,23
1557465134,4,2
1557468928,1,7
1557472337,4,1
1557472802,256,256
1557476128,2,0
1557479519,3,1
1557483328,1,3
1557486903,2,4
1557490337,2,5
1557492902,0,41728
1557494129,5,2
1557498003,1,0
1557498302,1792,1792
1557501603,4,3
1557504903,4,2
1557505331,256,256
1557508521,257,258
1557512123,259,259
1557513303,256,256
1557515724,1,3
1557517502,256,0
1557519324,0,2
1557519999,256,256
1557524724,65536,2048
1557526325,2,0
1557530402,2,1
1557533704,8,1
1557534018,256,256
1557537328,12,2
1557540928,2,0
1557544528,1,4
1557547940,0,12
1557551728,2,2
1557555119,1,2
1557558927,1,1
1557562528,2,0
1557570902,1,4
1557573329,1,0
1557576928,1,1
1557579303,1536,35584
1557580529,3,0
1557583934,2,2
1557584402,768,768
1557587721,4,4
1557588116,256,256
1557591137,3,3
1557592056,256,256
1557594736,2,3
1557598352,1,4
1557599425,1,1
1557600002,1,1
1557602124,5,6
1557605989,5,1
1557609122,2,3
1557610226,256,256
1557611402,256,256
1557612747,3,2
1557613661,256,256
1557616529,259,260
1557617121,257,256
1557620102,5,3
1557620448,256,256
1557623732,16,1
1557627331,4,4
1557630747,1,8
1557634503,0,21
1557637921,6,5
1557641732,4,3
1557645332,1,4
1557648903,2,0
1557652532,2,3
1557656103,3,1
1557659703,3,0
1557663334,1,2
1557666003,2304,512
1557666902,3,3
1557670532,4,2
1557674103,3,3
1557677732,2,6
1557681333,1,2
1557681902,1280,1280
1557684921,2,1
1557692122,2,1
1557692702,512,512
1557695723,0,2
1557699302,0,2
1557703298,7,3
1557706525,6,2
1557707403,512,512
1557710079,26,2
1557713832,10,1
1557717326,3,11
1557720723,3,13
1557724280,1,2
1557728127,1,2
1557731728,3,6
1557732302,256,256
1557735070,2,1
1557735838,256,256
1557738694,1,3
1557742502,2,3
1557746128,4,3
1557749476,5,3
1557752102,0,1024
1557753031,3,1
1557756692,3,1
1557760276,2,1
1557763894,1,2
1557767728,2,3
1557768388,1536,1536
1557771319,0,1
1557774920,3,2
1557778519,0,4
1557779102,256,256
1557782121,3,2
1557785702,1,1
1557789073,1,2
1557792927,5,3
1557794102,1024,1024
1557796525,16,0
1557797426,256,256
1557800126,3,8
1557800702,256,256
1557803725,3,9
1557804902,1,1
1557807110,3,14
1557810656,4,6
1557814306,3,0
1557817885,5,4
1557821485,4,7
1557825302,5,4
1557828672,5,2
1557832312,3,2
1557835874,1,5
1557838503,0,75776
1557839726,3,4
1557843326,3,6
1557846702,1,3
1557850502,6,3
1557851142,3328,3328
1557853880,3,4
1557854501,256,256
1557856822,512,512
1557857451,2,2
1557861319,1,258
1557861863,256,256
1557864686,1,0
1557865803,256,256
1557868250,1,2
1557868893,0,256
1557872122,2,2
1557873301,512,512
1557874827,256,256
1557875721,2,4
1557877202,1,1
1557878102,1,1
1557879098,8,2
1557879951,1280,1024
1557882698,17,1
1557886246,3,3
1557890124,1,5
1557893702,2,15
1557894200,256,256
1557897324,3,3
1557900924,4,6
1557904299,4,3
1557908124,5,3
1557911724,3,4
1557915324,4,2
1557918704,4,1
1557921902,1,1
1557922427,2,3
1557924903,7168,43264
1557926125,2,4
1557929724,2,2
1557933324,3,1
1557936924,2,5
1557940524,2,4
1557941102,3584,3584
1557943802,256,256
1557944117,4,3
1557944714,768,768
1557945902,1,1
1557946503,1,0
1557947702,4,3
1557951318,1,2
1557952056,256,256
1557953702,256,256
1557954919,2,6
1557957903,256,256
1557958502,5,2
1557959263,256,256
1557962120,1,2
1557963004,257,257
1557963902,1,0
1557965103,0,1
1557965720,8,0
1557967502,512,512
1557969321,21,3
1557970222,256,256
1557972922,4,0
1557976522,6,6
1557977402,1,1
1557978302,1,1
1557978902,1,1
1557980123,3,17
1557983703,5,5
1557985502,1,1
1557986702,1,1
1557987364,7,3
1557989102,1,1
1557989703,1,1
1557990302,1,1
1557990923,4,4
1557991682,1,0
1557994522,4,7
1557995402,1,1
1557996303,1,0
1557998124,5,10
1558001723,6,2
1558005098,3,2
1558008665,2,4
1558011010,6656,44800
1558012523,5,4
1558015862,3,5
1558016739,1536,1536
1558019102,256,256
1558019718,262,259
1558023318,1,3
1558023902,256,256
1558026689,1,5
1558030202,256,256
1558030519,6,5
1558031403,512,512
1558033502,256,256
1558033902,1,3
1558034702,256,256
1558035303,256,256
