DateTime,AddedIPs,RemovedIPs
1556465805,1,1
1556471535,0,1
1556473472,0,1
1556475385,1,1
1556477293,0,3
1556479240,2,1
1556481155,1,0
1556483052,0,4
1556489064,2,1
1556490980,2,0
1556492914,1,0
1556498674,1,1
1556500576,1,0
1556502501,0,1
1556504414,1,1
1556514043,0,1
1556515936,1,0
1556520025,1,0
1556525802,0,1
1556529616,0,1
1556537292,0,2
1556539240,1,0
1556541157,1,0
1556548834,0,1
1556552659,0,1
1556558418,1,0
1556562253,0,1
1556564180,0,1
1556566111,2,1
1556568058,0,1
1556574036,0,1
1556578650,0,3
1556580499,1,1
1556582483,1,0
1556584351,1,1
1556586277,0,1
1556588460,2,0
1556592262,1,1
1556599947,1,0
1556601877,0,1
1556603774,1,0
1556607665,0,1
1556609541,2,0
1556615552,1,0
1556617515,1,0
1556621304,2,0
1556623245,1,0
1556627052,0,2
1556630891,1,0
1556644334,1,1
1556646263,1,0
1556650095,1,0
1556652009,1,0
1556653931,0,2
1556655907,1,0
1556659690,0,1
1556661662,2,0
1556668069,1,2
1556670009,2,0
1556671957,1,1
1556673856,0,2
1556677708,1,0
1556679726,1,1
1556685380,0,1
1556689212,1,1
1556691143,1,0
1556693073,1,0
1556694979,0,1
1556696902,1,1
1556702664,0,1
1556704589,0,1
1556706506,1,0
1556709525,0,3
1556717563,1,1
1556719483,2,0
1556730976,0,1
1556732900,0,1
1556736751,0,1
1556738660,1,1
1556742527,0,1
1556747293,0,1
1556750436,0,1
1556754294,1,1
1556756181,0,2
1556758369,0,1
1556762204,2,0
1556764099,0,1
1556766970,0,1
1556770836,1,0
1556774656,0,1
1556776584,1,1
1556780445,0,1
1556782355,0,1
1556792424,0,1
1556800135,1,0
1556803964,0,1
1556805873,1,1
1556807771,1,1
1556813561,1,0
1556819545,3,0
1556825288,0,1
1556827250,1,0
1556837532,1,0
1556841388,0,1
1556847155,0,1
1556849089,0,1
1556852891,1,0
1556856740,0,1
1556858684,1,0
1556860573,1,0
1556862506,1,0
1556864438,0,1
1556872090,1,0
1556874087,1,0
1556880763,1,0
1556884598,1,0
1556886795,1,1
1556890578,3,0
1556892773,0,1
1556894657,3,1
1556900413,0,1
1556904256,1,0
1556906175,1,3
1556908127,1,0
1556913866,0,1
1556919640,2,0
1556923500,0,1
1556927298,1,0
1556931154,2,0
1556938853,1,1
1556940784,1,0
1556942670,1,0
1556944575,0,1
1556946530,0,1
1556948419,2,0
1556950340,1,1
1556958041,1,0
1556959938,0,2
1556965970,1,1
1556971648,0,1
1556973612,0,1
1556975557,0,3
1556979387,0,1
1556981297,0,2
1556987054,1,0
1556990911,0,1
1556992878,0,1
1556994758,0,1
1557000517,1,0
1557002429,2,0
1557004348,1,0
1557006250,1,2
1557013954,0,1
1557017780,1,2
1557026439,1,2
1557030267,0,1
1557034113,0,1
1557036088,0,1
1557037938,0,1
1557040123,1,0
1557043961,0,1
1557051858,0,1
1557060501,1,0
1557062407,1,0
1557066379,1,0
1557072074,0,1
1557077779,1,0
1557079726,1,0
1557087389,1,1
1557089292,0,2
1557091223,1,2
1557104654,0,1
1557112342,1,0
1557114267,0,1
1557125796,0,1
1557127714,1,0
1557130598,1,0
1557132508,1,0
1557134415,1,0
1557144980,1,0
1557146901,0,1
1557148842,0,1
1557152675,0,1
1557154581,1,0
1557160362,2,0
1557164195,1,1
1557166121,0,1
1557171871,1,0
1557173777,0,1
1557177647,0,1
1557179540,1,0
1557189514,1,0
1557196377,1,0
1557198283,0,1
1557209787,1,0
1557215778,0,2
1557219663,0,2
1557221557,1,0
1557225392,1,0
1557229214,1,0
1557231159,0,1
1557240738,0,1
1557242664,1,0
1557246491,1,2
1557250366,1,1
1557254180,2,0
1557258014,1,0
1557259944,0,1
1557265708,2,1
1557275401,1,1
1557282982,0,1
1557288746,1,0
1557296429,0,1
1557300272,1,0
1557304092,1,0
1557306073,1,0
1557307941,2,1
1557312013,0,1
1557315872,0,1
1557319708,1,0
1557323547,1,0
1557327634,1,0
1557329544,1,1
1557333379,1,1
1557335292,3,0
1557337211,0,1
1557339097,1,1
1557341053,0,1
1557344921,1,0
1557348774,1,0
1557350677,0,1
1557352569,2,1
1557355545,1,0
1557359254,1,0
1557361314,0,1
1557365068,3,0
1557373236,2,0
1557375164,0,2
1557378989,1,0
1557381149,1,0
1557383055,1,0
1557386922,1,1
1557390769,0,1
1557392668,2,1
1557394585,0,2
1557396551,3,0
1557406099,2,1
1557408020,1,0
1557409950,0,1
1557411861,1,0
1557413788,0,1
1557417706,1,0
1557421510,0,4
1557425539,2,1
1557431294,0,1
1557433220,1,0
1557435135,0,1
1557438994,2,2
1557442382,0,1
1557444278,1,0
1557446175,0,1
1557450994,2,3
1557458678,0,2
1557462500,1,0
1557464466,1,1
1557468291,0,1
1557470174,0,1
1557474016,0,1
1557477901,0,2
1557479777,0,1
1557481696,0,1
1557483639,0,2
1557491297,0,1
1557493271,0,1
1557495404,0,1
1557497302,0,1
1557499242,1,0
1557503331,1,0
1557505214,0,1
1557512892,0,2
1557516739,1,0
1557518670,0,1
1557524440,0,2
1557530189,0,1
1557532100,1,0
1557535934,0,1
1557537871,0,1
1557539780,4,0
1557549391,0,1
1557551330,0,1
1557557065,1,0
1557558976,1,0
1557562847,1,0
1557564731,1,0
1557567009,2,0
1557584184,1,0
1557586096,0,1
1557588011,1,0
1557590061,1,1
1557596186,1,0
1557602183,0,1
1557606032,1,0
1557613714,1,0
1557617546,1,0
1557619487,0,1
1557623311,1,0
1557625270,0,3
1557627160,0,1
1557642767,0,1
1557644708,0,1
1557648744,0,1
1557650690,1,0
1557652581,0,1
1557654502,0,2
1557656451,1,0
1557658376,1,0
1557670134,1,1
1557672046,1,0
1557673949,1,1
1557677814,0,1
1557679733,3,0
1557681627,0,1
1557685471,1,0
1557693618,0,1
1557699650,0,1
1557704902,1,1
1557710661,0,1
1557718582,1,0
1557724366,1,0
1557733938,1,0
1557741658,0,1
1557743565,1,0
1557745513,1,1
1557747381,1,0
1557749302,1,0
1557757001,0,2
1557760834,0,1
1557764667,0,1
1557766578,0,2
1557772347,0,1
1557774261,1,0
1557776179,3,0
1557780013,3,0
1557791531,0,1
1557805220,0,2
1557811126,0,1
1557818890,0,1
1557820900,1,0
1557826832,1,0
1557828735,3,0
1557830686,0,1
1557834774,0,1
1557836656,0,1
1557848448,1,0
1557854180,1,0
1557860192,0,1
1557862092,0,3
1557864314,1,0
1557866206,0,3
1557871955,1,0
1557885373,1,0
1557894986,1,0
1557900780,1,0
1557904606,0,1
1557908442,0,1
1557912270,0,1
1557914196,3,3
1557929558,1,0
1557935341,0,1
1557941060,0,1
1557944911,1,0
